date,ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PR013
2013-09-11,EWZ US Equity,38.0599,38.3529,37.7262,38.1006,14979354
2013-09-12,EWZ US Equity,38.1982,38.2389,37.6529,37.661,13870654
2013-09-13,EWZ US Equity,37.8482,38.0273,37.6041,37.9866,7708504
2013-09-16,EWZ US Equity,38.6947,38.7436,38.0192,38.0355,12223347
2013-09-17,EWZ US Equity,38.3448,38.6459,38.3448,38.5157,12455650
2013-09-18,EWZ US Equity,38.7843,40.6482,38.6215,40.4691,33026404
2013-09-19,EWZ US Equity,40.3145,40.4447,39.7854,40.3308,27033835
2013-09-20,EWZ US Equity,40.4203,40.5017,39.3704,39.4924,19729536
2013-09-23,EWZ US Equity,39.7122,40.0377,39.6226,39.8831,15608881
2013-09-24,EWZ US Equity,39.8831,40.0662,39.5901,39.8343,16086465
2013-09-25,EWZ US Equity,39.6308,39.704,39.118,39.2726,17682253
2013-09-26,EWZ US Equity,39.4436,39.6064,38.9715,39.2319,10317113
2013-09-27,EWZ US Equity,38.9715,39.2971,38.9064,39.0203,10845241
2013-09-30,EWZ US Equity,38.9389,39.3215,38.7761,38.9959,17928392
2013-10-01,EWZ US Equity,39.1343,39.3785,38.9796,39.3703,14072316
2013-10-02,EWZ US Equity,39.4436,39.8668,39.3215,39.7936,11702733
2013-10-03,EWZ US Equity,39.5575,39.7285,39.1587,39.3947,17706423
2013-10-04,EWZ US Equity,39.0936,39.5982,39.0529,39.5005,8402054
2013-10-07,EWZ US Equity,39.1994,39.6796,39.1831,39.4924,7850281
2013-10-08,EWZ US Equity,39.6145,39.6715,39.061,39.2401,10732023
2013-10-09,EWZ US Equity,39.4436,39.6226,39.0692,39.4436,12680640
2013-10-10,EWZ US Equity,39.9482,40.3715,39.8098,40.1639,14400458
2013-10-11,EWZ US Equity,40.2087,40.5587,40.0418,40.5098,9531522
2013-10-14,EWZ US Equity,40.0133,41.1528,40.0068,41.0552,12079750
2013-10-15,EWZ US Equity,40.8924,41.0796,40.6401,40.754,16047273
2013-10-16,EWZ US Equity,41.1122,41.6941,41.0389,41.104,17549277
2013-10-17,EWZ US Equity,41.2912,41.5435,41.1691,41.4296,12818337
2013-10-18,EWZ US Equity,41.568,41.6982,40.2087,41.2668,12140463
2013-10-21,EWZ US Equity,41.4784,41.6168,41.0877,41.5273,12021739
